tweet_id,text,final_intent,rule_prediction,final_multi_issue,final_context_required,failure_explanation
36647,"@AppleSupport Too laggy and i think 11.1 more laggy for old iphone and worst when low battery, i very miss the all days on 10.",IOS_UPDATE_ISSUE,BATTERY_CHARGING,No,No,Expected IOS_UPDATE_ISSUE but rule-based classifier predicted BATTERY_CHARGING.
107361,@AppleSupport hi apple! How am I supposed to enter my password when my number keyboard refuses to work? 😩 happening to me for a while now! https://t.co/Euo58igWh3,FEATURE_SETTINGS,ACCOUNT_LOGIN,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted ACCOUNT_LOGIN.
157821,@AppleSupport Anytime I swipe up or switch to a new app it seems.,CONTEXT_REQUIRED,FEATURE_SETTINGS,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted FEATURE_SETTINGS.
215357,@AppleSupport I’m on iOS 11.0.2. Any reason why this is happening? https://t.co/g4BNw4BBDF,CONTEXT_REQUIRED,IOS_UPDATE_ISSUE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted IOS_UPDATE_ISSUE.
244214,"@AppleSupport No. It was “off” in control center, then it connected to a new device and reconnected to an old device (and icon changed to on)",CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
253453,@176246 @AppleSupport I’m facing the same problem 😩 I feel I have an old samsung device,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
287457,@AppleSupport eine Frage: wie soll ich meine EarPods 🎧 mit Lightning Anschluss am MacBook 💻 benutzen?,FEATURE_SETTINGS,CONTEXT_REQUIRED,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted CONTEXT_REQUIRED.
294361,"@AppleSupport why does my iPhone cable intermittently cause my phone to come up with the message, #thisaccessoryisnotsuppotted? #frustrated",HARDWARE_REPAIR,UNKNOWN_ESCALATE,No,No,Expected HARDWARE_REPAIR but rule-based classifier predicted UNKNOWN_ESCALATE.
310822,"I want to thank @AppleSupport. I bought my #ipadpro in July bc updates slowed my 4. Now, #iOS11 is chewing up my battery. Thx for everything",IOS_UPDATE_ISSUE,BATTERY_CHARGING,No,No,Expected IOS_UPDATE_ISSUE but rule-based classifier predicted BATTERY_CHARGING.
356807,Is anyone else’s iPad / iPhone capitalising random Words? FFs. @AppleSupport,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
394096,@AppleSupport Sent you a DM,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
404116,@211652 @AppleSupport @115858 I have to keep locking and unlocking again to see if apps have reappeared lol,DEVICE_PERFORMANCE,FEATURE_SETTINGS,No,No,Expected DEVICE_PERFORMANCE but rule-based classifier predicted FEATURE_SETTINGS.
410513,@applesupport MacPro 2013. Yosemite. iTunes 12.7.,CONTEXT_REQUIRED,APPLE_SERVICE_ISSUE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted APPLE_SERVICE_ISSUE.
432366,@AppleSupport I don’t mean to sound rude but it’s not going to resolve things? My battery is healthy! It’s ever since ios11 update and it’s a joke,IOS_UPDATE_ISSUE,BATTERY_CHARGING,No,No,Expected IOS_UPDATE_ISSUE but rule-based classifier predicted BATTERY_CHARGING.
434653,@AppleSupport Merhaba Telefonumu güncelledim fakat apple kimliğimi hatırlamıyorum,ACCOUNT_LOGIN,UNKNOWN_ESCALATE,No,No,Expected ACCOUNT_LOGIN but rule-based classifier predicted UNKNOWN_ESCALATE.
481738,"@AppleSupport watchOS 4.1, iOS 11.1.2 (both latest versions)",CONTEXT_REQUIRED,IOS_UPDATE_ISSUE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted IOS_UPDATE_ISSUE.
487900,@AppleSupport Good question. It’s happened at work and at home so always connected to wifi. I never try to update using my data.,CONTEXT_REQUIRED,IOS_UPDATE_ISSUE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted IOS_UPDATE_ISSUE.
498553,"@AppleSupport I’m on iPhone 7+, listening to Apple Music. It was fine a few days ago, not sure what I’ve done to change the settings",CONTEXT_REQUIRED,APPLE_SERVICE_ISSUE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted APPLE_SERVICE_ISSUE.
570191,"@AppleSupport I am using iOS 11.0.1 in my iPhone 6s. Apps crashing, voice call problem, iPhone getting hung. Kindly suggest",DEVICE_PERFORMANCE,IOS_UPDATE_ISSUE,Yes,No,Expected DEVICE_PERFORMANCE but rule-based classifier predicted IOS_UPDATE_ISSUE.
584720,"@AppleSupport please, fix app Weather in iOS 11 for iPhone.",FEATURE_SETTINGS,IOS_UPDATE_ISSUE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted IOS_UPDATE_ISSUE.
588048,"@AppleSupport it‘s 2017, I use up to 40gig mobile data per month bc it‘s unlimited, but Apple still not lets us do our iCloud-backup via mobile data? why?",APPLE_SERVICE_ISSUE,NETWORK_CONNECTIVITY,No,No,Expected APPLE_SERVICE_ISSUE but rule-based classifier predicted NETWORK_CONNECTIVITY.
