tweet_id,text,intent,multi_issue,context_required,note,confidence,final_intent,final_multi_issue,final_context_required,reviewer_note,reviewed
36647,"@AppleSupport Too laggy and i think 11.1 more laggy for old iphone and worst when low battery, i very miss the all days on 10.",IOS_UPDATE_ISSUE,No,No,"User attributes increased lag to the 11.1 update; low-battery mention describes when it's worse, not a separate issue.",0.7,IOS_UPDATE_ISSUE,No,No,"Lag is explicitly tied to the 11.1 update, worsening on an older iPhone at low battery.",yes
41647,@AppleSupport please tell me my iphone is freezing every 10 minutes since the new update I’m having to restart it constantly 😡😡😡,IOS_UPDATE_ISSUE,No,No,Explicit causation: freezing began 'since the new update.',0.9,IOS_UPDATE_ISSUE,No,No,Freezing is explicitly said to have started 'since the new update.',yes
84078,". @115858 @AppleSupport @AdobeCare Please sort the constant crashing and errors with Adobe products on highSierra. Acrobat crashes with multiple files open, and doesn’t like switching between InDesign. InDesign throws up an error when opening a document after using Photoshop.",DEVICE_PERFORMANCE,No,No,"Crashing/error keywords present, but this is primarily about third-party Adobe apps (also tagged @AdobeCare), not a core Apple issue -- ambiguous scope.",0.5,DEVICE_PERFORMANCE,No,No,"Crashing and errors here mainly affect third-party Adobe apps, not core Apple software or hardware.",yes
107361,@AppleSupport hi apple! How am I supposed to enter my password when my number keyboard refuses to work? 😩 happening to me for a while now! https://t.co/Euo58igWh3,FEATURE_SETTINGS,No,No,Root cause is the keyboard not working; password entry is blocked as a symptom. Ambiguous with ACCOUNT_LOGIN since it prevents sign-in.,0.6,FEATURE_SETTINGS,No,No,"Password entry is blocked because the number keyboard itself isn't working, a settings/feature problem.",yes
123721,@AppleSupport Thanks!!!,CONTEXT_REQUIRED,No,Yes,Pure acknowledgement ('Thanks!!!') with no topic content.,0.95,CONTEXT_REQUIRED,No,Yes,A bare thank-you gives no clue what issue was resolved or being discussed.,yes
157821,@AppleSupport Anytime I swipe up or switch to a new app it seems.,CONTEXT_REQUIRED,No,Yes,Incomplete trailing sentence ('...it seems'); referent of 'it' unknown without prior turns.,0.8,CONTEXT_REQUIRED,No,Yes,Message ends mid-thought ('...it seems') so the topic being described is never named.,yes
176015,@AppleSupport I️t says that I have an update but then that it’s up to date. https://t.co/Gtq5GDK7M2,IOS_UPDATE_ISSUE,No,No,Confusion around update availability/status is itself an update-process problem.,0.65,IOS_UPDATE_ISSUE,No,No,Confusion over conflicting update-availability messages is itself part of the update process.,yes
215357,@AppleSupport I’m on iOS 11.0.2. Any reason why this is happening? https://t.co/g4BNw4BBDF,CONTEXT_REQUIRED,No,Yes,'Why is this happening' -- 'this' is not defined in the current text.,0.8,CONTEXT_REQUIRED,No,Yes,Asks why 'this' is happening without ever stating what 'this' refers to.,yes
244214,"@AppleSupport No. It was “off” in control center, then it connected to a new device and reconnected to an old device (and icon changed to on)",CONTEXT_REQUIRED,No,Yes,Describes device/icon reconnect behavior but 'it' (likely Bluetooth) is never named; content hints at NETWORK_CONNECTIVITY.,0.55,CONTEXT_REQUIRED,No,Yes,Describes a toggle and icon changing state but never names the feature (e.g. Bluetooth) involved.,yes
253453,@176246 @AppleSupport I’m facing the same problem 😩 I feel I have an old samsung device,CONTEXT_REQUIRED,No,Yes,'Same problem' references an unspecified prior issue.,0.85,CONTEXT_REQUIRED,No,Yes,Claims to share 'the same problem' as another user without describing what that problem is.,yes
